s1, s2, s3, s4, L, P
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 0, 0, 2167.1926910299, -1967.192691029901
3, 0, 2, 0, 2171.926910299003, -1971.926910299003
5, 0, 2, 0, 2173.117386489479, -1973.11738648948
4, 0, 4, 0, 2174.280177187154, -1974.280177187154
7, 0, 6, 0, 2178.43300110742, -1978.43300110742
9, 0, 6, 0, 2180.204872646733, -1980.204872646733
11, 1, 6, 0, 2182.613510520488, -1982.613510520487
10, 1, 7, 0, 2182.004429678849, -1982.004429678849
13, 3, 9, 0, 2184.413067552603, -1984.413067552603
15, 5, 13, 0, 2186.794019933555, -1986.794019933555
19, 8, 13, 0, 2186.87707641196, -1986.87707641196
24, 11, 19, 0, 2191.085271317829, -1991.08527131783
29, 13, 19, 3, 2122.646733111849, -1922.646733111849
31, 14, 19, 3, 2123.864894795128, -1923.864894795127
32, 14, 25, 3, 2128.543743078627, -1928.543743078627
32, 21, 25, 0, 2195.404208194906, -1995.404208194906
30, 20, 25, 1, 2169.186046511628, -1969.186046511628
24, 11, 21, 0, 2195.182724252492, -1995.182724252492
23, 13, 19, 0, 2190.503875968993, -1990.503875968992
23, 13, 19, 3, 2116.694352159469, -1916.694352159469
19, 13, 16, 7, 2008.997785160576, -1808.997785160576
18, 16, 14, 18, 1854.318936877076, -1654.318936877076
18, 18, 14, 23, 1600.830564784054, -1400.830564784053
19, 19, 15, 27, 1501.439645625692, -1301.439645625692
22, 25, 16, 24, 1575.913621262458, -1375.913621262459
22, 29, 18, 29, 1445.127353266888, -1245.127353266888
24, 32, 18, 32, 1368.992248062016, -1168.992248062015
31, 36, 18, 34, 1322.702104097453, -1122.702104097453
40, 37, 19, 22, 1632.834994462901, -1432.834994462902
43, 36, 19, 11, 1912.569213732004, -1712.569213732005
41, 31, 18, 1, 2165.420819490587, -1965.420819490587
41, 6, 27, 0, 2216.638981173865, -2016.638981173865
33, 0, 31, 0, 2224.501661129568, -2024.501661129568
36, 0, 36, 0, 2230.980066445183, -2030.980066445183
31, 0, 31, 0, 2222.120708748616, -2022.120708748616
0, 0, 25, 0, 2181.727574750831, -1981.727574750831
0, 0, 24, 0, 2181.146179401993, -1981.146179401994
0, 0, 25, 0, 2181.727574750831, -1981.727574750831
0, 0, 3, 0, 2174.169435215947, -1974.169435215947
0, 0, 3, 0, 2168.936877076412, -1968.936877076412
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
0, 0, 2, 0, 2168.355481727575, -1968.355481727575
